,combo_rep_1,combo_rep_2,combo_rep_3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
hsa-miR-340-5p + hsa-miR-3937,0.09519508984670484,0.07588729501594002,0.1492637232256326,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-137 + hsa-miR-3937,0.017724370299777855,0.026644574247987884,0.016990281325085146,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-10a-5p + hsa-miR-3937,0.11262690337762662,0.11480528199573584,0.08109083786522288,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-3714 + hsa-miR-429,0.011236380117318102,0.014182535643820698,0.002267101200115089,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-25-3p + hsa-miR-3714,0.06334419406124789,0.03691237245689295,0.03820185075380753,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-106a-5p + hsa-miR-2110,0.10634009696693474,0.03017693988267197,0.14692494343363105,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-2110 + hsa-miR-93-5p,0.029481962297095314,0.017738732105127275,0.08657138824015322,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-128-3p + hsa-miR-340-5p,0.2847291208978163,0.12673555742599069,0.377310495158606,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-128-3p + hsa-miR-137,0.07864798565867262,0.10814320402813955,0.05271929600258608,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-10a-5p + hsa-miR-128-3p,0.45542446343903176,0.3959210043139799,0.5188809418333756,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-204-5p + hsa-miR-873-5p,0.7163321022534557,0.6094271266051781,0.7654283248507446,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-19b-3p + hsa-miR-873-5p,0.8008740021877856,0.6648118814654127,0.645409165739687,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-429 + hsa-miR-452-5p,0.6307177465428688,0.41906312954125663,0.4890677107104054,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-25-3p + hsa-miR-452-5p,0.23610283872729299,0.21477656268984097,0.1749087129004055,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-200c-3p + hsa-miR-3937,0.10438108309784089,0.12727534419548264,0.10792811962588778,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
